City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
237,udachny,66.4167,112.4,31.44,65,100,6.91,RU,1715528152
238,nikolayevsk-on-amure,53.1406,140.73,34.21,97,100,4.0,RU,1715528234
239,diok'nisi,41.6293,42.3917,47.41,100,100,2.77,GE,1715528234
240,port shepstone,-30.7414,30.455,68.49,75,100,8.39,ZA,1715528234
241,ciudad lazaro cardenas,17.9583,-102.2,85.1,38,6,4.54,MX,1715528023
242,papatowai,-46.5619,169.4708,49.24,83,100,9.01,NZ,1715528141
243,richmond,37.5538,-77.4603,69.4,49,0,14.97,US,1715527770
244,steamboat springs,40.485,-106.8317,55.94,66,0,9.22,US,1715527999
245,usogorsk,63.4106,48.6872,31.66,86,100,8.39,RU,1715528234
246,colonia,50.9333,6.95,82.81,33,0,10.36,DE,1715528235
247,wynyard,-41.0,145.7167,57.9,86,100,10.74,AU,1715528171
248,touros,-5.1989,-35.4608,87.46,61,38,12.75,BR,1715528123
249,chipinge,-20.1883,32.6236,66.42,54,4,7.49,ZW,1715528235
250,port pirie,-33.1833,138.0167,54.36,82,13,2.17,AU,1715528235
251,fukuecho,32.6881,128.8419,63.95,75,100,14.74,JP,1715528235
252,sarigerme,36.7155,28.7044,63.91,77,75,5.75,TR,1715528235
253,syktyvkar,61.6764,50.8099,38.93,56,40,4.47,RU,1715528235
254,margate,51.3813,1.3862,66.9,73,86,6.67,GB,1715527981
255,phan rang-thap cham,11.5667,108.9833,79.84,81,100,4.07,VN,1715528235
256,kamiiso,41.8167,140.65,55.78,100,100,9.22,JP,1715528235
257,ancud,-41.8697,-73.8203,46.72,65,20,1.61,CL,1715528168
258,shippensburg,40.0507,-77.5203,60.19,77,99,4.0,US,1715528235
259,weno,7.4515,151.8468,84.15,89,100,6.91,FM,1715528160
260,huanggang,23.677,116.9996,76.89,85,100,4.61,CN,1715528235
261,dul'durga,50.6761,113.5931,58.32,46,99,10.47,RU,1715528153
262,ma'rib,15.4591,45.3253,90.52,16,8,11.65,YE,1715528236
263,curitibanos,-27.2828,-50.5844,80.01,44,21,6.96,BR,1715528236
264,gobabis,-22.45,18.9667,76.8,16,3,9.55,NA,1715528236
265,kochubey,44.3861,46.5825,67.51,52,96,12.66,RU,1715528236
266,humaita,-7.5061,-63.0208,95.88,46,98,2.53,BR,1715528236
267,aras-asan,8.8908,126.3033,78.64,88,100,2.01,PH,1715528236
268,meiganga,6.5167,14.3,78.76,60,82,3.33,CM,1715528236
269,lichinga,-13.3128,35.2406,73.49,46,75,8.05,MZ,1715528236
270,choyr,46.3611,108.3611,63.14,20,6,5.77,MN,1715528236
271,hilo,19.7297,-155.09,69.24,99,75,10.0,US,1715527982
272,ngama,11.7833,17.1667,109.72,7,51,7.52,TD,1715528236
273,nukus,42.4531,59.6103,80.58,22,0,13.8,UZ,1715528236
274,thunder bay,48.4001,-89.3168,64.31,45,75,5.75,CA,1715528210
275,barra de santo antonio,-9.4047,-35.5072,87.08,71,16,6.38,BR,1715528169
276,barao de cocais,-19.9458,-43.4872,88.81,35,4,4.65,BR,1715528236
277,mawlaik,23.6333,94.4167,82.96,50,97,1.59,MM,1715528237
278,awjilah,29.1081,21.2869,82.47,24,0,10.85,LY,1715528237
279,bria,6.5423,21.9863,74.95,77,100,4.52,CF,1715528237
280,kutum,14.2,24.6667,95.94,8,85,10.25,SD,1715528237
281,preobrazheniye,42.9019,133.9064,45.97,80,7,7.61,RU,1715528237
282,marka,1.7159,44.7717,81.34,86,65,14.45,SO,1715528237
283,barreiro do jaiba,-15.6167,-43.6,95.86,31,20,2.28,BR,1715528237
284,wad rawah,15.1603,33.1397,107.29,8,78,7.31,SD,1715528237
285,vorkuta,67.5,64.0,23.11,95,17,5.99,RU,1715528174
286,saint-philippe,-21.3585,55.7679,76.59,83,86,14.29,RE,1715528158
287,punta del este,-34.9667,-54.95,60.91,77,75,16.11,UY,1715528191
288,aldinga beach,-35.2793,138.4604,56.64,80,7,3.47,AU,1715528237
289,queenstown,-31.8976,26.8753,54.21,59,0,8.81,ZA,1715527955
290,swakopmund,-22.6833,14.5333,74.25,77,34,5.99,NA,1715528159
291,enoch,37.7733,-113.0244,58.48,52,0,1.01,US,1715528238
292,lewistown,40.5992,-77.5714,56.35,90,100,5.75,US,1715528238
293,sinabang,2.4803,96.3801,80.35,85,100,3.27,ID,1715528238
294,kenai,60.5544,-151.2583,39.15,99,100,5.75,US,1715528238
295,aghajari,30.7006,49.8315,92.43,15,0,9.35,IR,1715528238
296,ambalangoda,6.2355,80.0538,82.85,80,100,6.8,LK,1715528238
297,dudinka,69.4058,86.1778,25.68,94,60,7.0,RU,1715528146
298,krasnogvardeyskoye,45.8456,41.5186,59.43,56,99,6.78,RU,1715528189
299,quixada,-4.9714,-39.0153,89.85,45,1,5.99,BR,1715528238
300,kuta,-8.7233,115.1723,80.55,94,20,9.22,ID,1715528238
301,turku,60.4515,22.2687,55.92,33,100,9.22,FI,1715528238
302,xiaolingwei,32.0333,118.85,58.98,55,92,3.67,CN,1715528238
303,hovd,48.0056,91.6419,61.05,47,100,6.67,MN,1715528238
304,port augusta,-32.5,137.7667,54.05,82,11,4.09,AU,1715528174
305,laurel bay,32.4502,-80.7848,80.56,39,0,13.8,US,1715528239
306,buenavista,8.9769,125.4089,77.0,91,89,5.82,PH,1715528239
307,green river,41.5286,-109.4662,60.19,61,6,1.01,US,1715528239
308,eldama ravine,0.0516,35.7308,60.8,74,100,3.56,KE,1715528239
309,parabel',58.6978,81.4825,50.92,51,13,8.99,RU,1715528239
310,kittila,67.6647,24.8936,51.94,46,75,2.3,FI,1715528239
311,bubaque,11.2833,-15.8333,80.11,74,23,10.54,GW,1715528163
312,bu'aale,1.0833,42.5833,83.89,65,87,11.52,SO,1715528239
313,lata,40.1629,-8.3327,66.07,48,96,11.18,PT,1715528157
314,enewetak,11.3474,162.3373,81.52,81,96,17.58,MH,1715528143
315,malakal,9.5334,31.6605,101.59,24,97,4.16,SS,1715528239
316,tura,25.5198,90.2201,74.84,78,57,3.04,IN,1715528164
317,taoudenni,22.6783,-3.9836,108.52,5,2,3.62,ML,1715528166
318,dhuusamarreeb,5.535,46.3861,93.04,37,28,6.08,SO,1715528160
319,kailua-kona,19.6406,-155.9956,73.36,89,100,11.5,US,1715528162
320,auki,-8.7676,160.7034,76.23,86,94,3.51,SB,1715528240
321,gunjur,13.2019,-16.7339,89.67,58,0,5.75,GM,1715528240
322,amlapura,-8.45,115.6167,77.04,86,87,5.5,ID,1715528240
323,natal,-5.795,-35.2094,88.45,70,75,14.97,BR,1715528233
324,zyrya,40.3661,50.2917,62.69,80,0,18.1,AZ,1715528240
325,elin pelin,42.6667,23.6,58.82,67,100,4.61,BG,1715528240
326,acarau,-2.8856,-40.12,84.61,75,43,10.87,BR,1715528161
327,nova sintra,14.8667,-24.7167,75.43,80,11,23.04,CV,1715528156
328,lindley,-27.8791,27.9135,64.94,29,8,2.73,ZA,1715528241
329,josenii bargaului,47.2167,24.6833,47.97,84,83,5.17,RO,1715528241
330,cannonvale,-20.2833,148.7,72.79,91,18,10.51,AU,1715528241
331,hithadhoo,-0.6,73.0833,84.85,76,63,9.13,MV,1715528142
332,moussoro,13.6408,16.4901,111.69,7,34,6.8,TD,1715528241
333,sao paulo de olivenca,-3.3783,-68.8725,90.37,59,100,1.21,BR,1715528174
334,talnakh,69.4865,88.3972,25.21,95,61,6.76,RU,1715528142
335,machado,-21.6747,-45.9197,81.77,41,19,6.38,BR,1715528241
336,masterton,-40.9597,175.6575,47.88,94,27,0.76,NZ,1715528241
337,san pedro,14.35,121.0167,87.03,78,20,4.61,PH,1715528241
338,zapolyarnyy,69.4154,30.8136,43.88,99,100,3.58,RU,1715528242
339,sitamau,24.0167,75.35,86.68,36,88,17.47,IN,1715528242
340,talodi,10.6325,30.3797,98.64,27,89,6.98,SD,1715528242
341,saint-francois,46.4154,3.9054,68.68,62,75,13.8,FR,1715528242
342,labytnangi,66.6572,66.4183,27.37,89,68,17.02,RU,1715528149
343,ballina,-28.8667,153.5667,58.48,79,0,11.39,AU,1715528242
344,misratah,32.3754,15.0925,73.6,54,34,13.76,LY,1715528242
345,minas de marcona,-15.2119,-75.1103,62.19,67,97,14.94,PE,1715528242
346,olovyannaya,50.95,115.5667,60.69,38,100,9.84,RU,1715528242
